t_s	x_mm	y_mm	z_mm	roll_rad	pitch_rad	yaw_rad	fx_N	fy_N	fz_N
2.490458	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.510421	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.530447	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.550452	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.570447	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.590420	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.610442	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.630641	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.650442	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.670420	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.690422	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.710422	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.730523	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.750423	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.770422	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.790443	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.810454	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.830436	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.850424	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.870433	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.890420	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.910421	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.930420	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.950484	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.970450	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
2.990427	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
3.010437	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
3.030424	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
3.050465	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
3.070422	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
3.090421	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
3.110420	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
3.130441	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
3.150429	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
3.170517	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
3.190529	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
3.210462	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
3.230513	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
3.250421	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
3.270534	573.450028	47.609472	99.740043	0.000222	0.000522	1.569996	0.000000	0.000000	0.000000
3.290423	573.208262	47.510008	99.370969	0.000564	0.001343	1.569896	3.834795	1.202710	0.465169
3.310428	573.153249	47.650647	98.779966	0.000681	0.002496	1.569496	14.788554	-20.310062	5.510406
3.330422	573.947784	48.428340	98.402091	0.000918	0.003360	1.569796	-41.098245	-48.819505	14.438778
3.350421	574.844617	48.882681	98.922953	0.000637	0.002394	1.569796	-93.247130	-50.200419	10.674768
3.370422	576.855131	49.856979	100.087278	-0.000452	-0.000521	1.569796	-31.046732	-28.938707	5.780883
3.390421	577.349956	50.181033	100.148378	-0.000622	-0.000931	1.569896	7.522045	1.607457	6.061252
3.410425	576.949207	50.159522	99.718315	-0.000179	-0.000153	1.569996	17.692394	8.455704	6.531880
3.430513	575.863213	49.889265	99.125379	0.000246	0.000873	1.569996	34.418739	11.767673	11.758963
3.450444	575.531936	49.836366	98.895819	0.000561	0.001344	1.569996	26.258352	9.337976	14.678432
3.470425	575.694726	49.938784	98.669821	0.000670	0.001899	1.569896	-5.259883	-2.111337	16.891941
3.490383	577.156390	50.723668	99.163661	0.000330	0.001079	1.569896	-57.075970	-27.279407	14.805116
3.510458	578.710352	51.632553	100.016238	-0.000373	-0.000914	1.569996	-11.184192	-6.126193	12.338655
3.530426	578.875234	51.821057	100.043645	-0.000415	-0.001017	1.569996	10.300314	4.703746	12.063479
3.550392	578.406226	51.746268	99.610325	-0.000034	-0.000093	1.569996	13.300009	6.124390	11.930953
3.570423	578.015059	51.678989	99.124771	0.000244	0.000874	1.569896	17.084070	0.631261	15.944067
3.590452	578.623863	52.112170	99.240961	0.000202	0.000771	1.569896	-18.261887	-12.646400	15.598213
3.610452	579.140471	52.447315	99.476763	-0.000010	0.000257	1.569996	-13.294555	-9.808316	14.581331
3.630444	579.331236	52.671631	99.482450	0.000093	0.000215	1.569996	5.491610	2.160658	13.934353
3.650422	579.550536	52.883295	99.355563	0.000220	0.000523	1.569996	-1.812810	-2.063900	12.543681
3.670465	580.012563	53.316744	99.412603	0.000177	0.000421	1.569996	0.619860	0.263930	10.919575
3.690444	580.217134	53.462356	99.418033	0.000177	0.000421	1.569996	1.415249	0.674070	10.287383
